Article #,ingredient 1,Concentration ,Unit of concentration ,Normalized concentration % of meat,Chemical composition,source,ingredient 2,Concentration ,Unit of concentration ,Normalized concentration %,Chemical chomposition,Source,ingredient 3,Concentration ,Unit of concentration ,Normalized concentration,Chemical composition,Source,ingredient 4,Concentration ,Unit of concentration ,Normalized concentration,chemical composition,source,Immersion time,Packaging condition,Storage condition (°C),Meat type,meat type 2,part of product,Treatment,Combined treatment, Indicators,Type of indicator,Lower Level Threshold (log CFU/g),Upper Level Threshold (log CFU/g),Unit,Initial Count (Day 0),Pre-threshold   (Day),Pre-threshold Count,Efficacité pre-threshols,Initial inhibition factor,Pre-Threshold Proximity Index 1(TPI),Pre-Threshold Proximity Index 2(TPI),Efficacité pre-threshols proximity ,Post-threshold (Day),Post-threshold Count,Efficacité of Post-threshold,Efficiency,post inhibition factor ,Post-Threshold Proximity Index 1(TPI),Post-Threshold Proximity Index 2(TPI),Efficacité post-threshols proximity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0109,Grape pomace extract 2,0.06,g/100g,0.06,Phenol,plant,,,,,,,,,,,,,,,,,,,,,4,Pork,Pork,Pork burgers,ANM,,TVC,Microbial,5,7,log CFU/g,4.2,3,5.2,1,0.33,1.04,0.74,2,6,6.7,3,0.644,0.500,1.34,0.957,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0109,Grape extract,0,g/100g,0,,,,,,,,,,,,,,,,,,,,,,,4,Pork,Pork,Pork burgers,,,TPC,Microbial,5,7,log CFU/g,4.2,3,5.7,2,0.50,1.14,0.81,2,6,6.3,2,0.553,0.200,1.26,0.900,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0109,Grape pomace extract 1,0.06,g/100g,0.06,Phenol,plant,,,,,,,,,,,,,,,,,,,,,4,Pork,Pork,Pork burgers,ANM,,TPC,Microbial,5,7,log CFU/g,4.5,3,5.6,2,0.37,1.12,0.80,2,6,6.6,1,0.589,0.333,1.32,0.943,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0109,Grape pomace extract 2,0.06,g/100g,0.06,Phenol,plant,,,,,,,,,,,,,,,,,,,,,4,Pork,Pork,Pork burgers,ANM,,TPC,Microbial,5,7,log CFU/g,4.2,3,5.2,2,0.33,1.04,0.74,2,6,6.3,2,0.606,0.367,1.26,0.900,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0109,Grape extract,0,g/100g,0,,,,,,,,,,,,,,,,,,,,,,,4,Pork,Pork,Pork burgers,,,TCC,Microbial,5,7,log CFU/g,4.2,3,5.5,1,0.43,1.10,0.79,2,6,6.3,1,0.573,0.267,1.26,0.900,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0109,Grape pomace extract 1,0.06,g/100g,0.06,Phenol,plant,,,,,,,,,,,,,,,,,,,,,4,Pork,Pork,Pork burgers,ANM,,TCC,Microbial,5,7,log CFU/g,4.6,3,5.4,1,0.27,1.08,0.77,2,6,6,1,0.556,0.200,1.2,0.857,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0109,Grape pomace extract 2,0.06,g/100g,0.06,Phenol,plant,,,,,,,,,,,,,,,,,,,,,4,Pork,Pork,Pork burgers,ANM,,TCC,Microbial,5,7,log CFU/g,4.2,3,4.9,1,0.23,0.98,0.70,2,6,6.4,1,0.653,0.500,1.28,0.914,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0109,Grape extract,0,g/100g,0,,,,,,,,,,,,,,,,,,,,,,,4,Pork,Pork,Pork burgers,,,TBARS,Chemical,0.50,2.00,mg MDA/kg,1.07,1,1.07,2,0.000,2.14,0.535,3,4,5.41,1,1.26,1.447,10.82,2.71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0109,Grape pomace extract 1,0.06,g/100g,0.06,Phenol,plant,,,,,,,,,,,,,,,,,,,,,4,Pork,Pork,Pork burgers,ANM,,TBARS,Chemical,0.50,2.00,mg MDA/kg,0.54,7,1.22,2,0.097,2.44,0.610,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0109,Grape pomace extract 2,0.06,g/100g,0.06,Phenol,plant,,,,,,,,,,,,,,,,,,,,,4,Pork,Pork,Pork burgers,ANM,,TBARS,Chemical,0.50,2.00,mg MDA/kg,0.78,1,0.78,3,0.000,1.56,0.390,3,4,2.76,2,0.88,0.660,5.52,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Lutein/sesamol/Ellagic acid/Olive leaf,0,µg/g meat,0,,,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),,,TVC,Microbial,5,7,log CFU/g,3.24,21,6.85,1,0.17,0.98,0.98,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Lutein,200,µg/g meat,0.02,Carbohydrate   ,plant,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),ANM,ANM,TVC,Microbial,5,7,log CFU/g,3.14,21,6.76,1,0.17,0.97,0.97,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Sesamol,250,µg/g meat,0.025,Phenol,plant,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),ANM,ANM,TVC,Microbial,5,7,log CFU/g,3.21,21,6.79,1,0.17,0.97,0.97,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Ellagic acid,300,µg/g meat,0.03,Phenol,plant,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),ANM,ANM,TVC,Microbial,5,7,log CFU/g,3.29,21,6.87,1,0.17,0.98,0.98,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Olive leaf,200,µg/g meat,0.02,Phenol,plant,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),ANM,ANM,TVC,Microbial,5,7,log CFU/g,3.3,21,6.81,1,0.17,0.97,0.97,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Lutein/sesamol/Ellagic acid/Olive leaf,0,µg/g meat,0,,,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),,,TVC,Microbial,5,7,log CFU/g,3.31,14,6.68,1,0.24,0.95,0.95,2,21,7.75,2,0.773,0.153,1.55,1.107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Lutein,200,µg/g meat,0.02,Carbohydrate   ,plant,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),MAP+ANM,MAP+ANM,TVC,Microbial,5,7,log CFU/g,3.35,7,6.82,1,0.50,0.97,0.97,2,14,7.35,3,0.539,0.076,1.47,1.050,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Sesamol,250,µg/g meat,0.025,Phenol,plant,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),MAP+ANM,MAP+ANM,TVC,Microbial,5,7,log CFU/g,3.17,14,6.72,1,0.25,0.96,0.96,2,21,7.42,2,0.736,0.100,1.484,1.060,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Ellagic acid,300,µg/g meat,0.03,Phenol,plant,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),MAP+ANM,MAP+ANM,TVC,Microbial,5,7,log CFU/g,3.29,7,6.38,1,0.44,0.91,0.91,2,14,7.10,3.00,0.556,0.103,1.42,1.014,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Olive leaf,200,µg/g meat,0.02,Phenol,plant,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),MAP+ANM,MAP+ANM,TVC,Microbial,5,7,log CFU/g,3.35,7,6.58,1,0.46,0.94,0.94,2,14,7.27,3,0.552,0.099,1.454,1.039,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Lutein/sesamol/Ellagic acid/Olive leaf,0,µg/g meat,0,,,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),,,TBARS,Chemical,0.5,2,mg MDA/kg,0.43,8,0.95,2.00,0.065,1.90,0.475,3,14,1.03,3.00,0.62,0.013,2.06,0.52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Lutein,200,µg/g meat,0.02,Carbohydrate   ,plant,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),ANM,ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.37,22,0.97,2,0.027,1.94,0.485,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Sesamol,250,µg/g meat,0.025,Phenol,plant,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),ANM,ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.39,22,0.57,3,0.008,1.14,0.285,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Ellagic acid,300,µg/g meat,0.03,Phenol,plant,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),ANM,ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.30,22,0.74,2,0.020,1.48,0.370,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Olive leaf,200,µg/g meat,0.02,Phenol,plant,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),ANM,ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.39,22,0.80,2,0.019,1.60,0.400,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Lutein/sesamol/Ellagic acid/Olive leaf,0,µg/g meat,0,,,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),,,TBARS,Chemical,0.5,2,mg MDA/kg,0.43,1,0.43,3,0.000,0.86,0.215,3,8,1.06,3.00,0.31,0.090,2.12,0.53,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Lutein,200,µg/g meat,0.02,Carbohydrate   ,plant,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),MAP+ANM,MAP+ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.37,1,0.37,3,0.000,0.74,0.185,3,8,1.10,3.00,0.37,0.104,2.20,0.55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Sesamol,250,µg/g meat,0.025,Phenol,plant,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),MAP+ANM,MAP+ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.39,22,0.46,3,0.003,0.92,0.230,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Ellagic acid,300,µg/g meat,0.03,Phenol,plant,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),MAP+ANM,MAP+ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.30,22,0.89,2,0.027,1.78,0.445,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Olive leaf,200,µg/g meat,0.02,Phenol,plant,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Raw pork sausuages (Fresh pork sholder and pork back fat),MAP+ANM,MAP+ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.39,15,0.83,2,0.029,1.66,0.415,3,22,1.13,3.00,0.93,0.043,2.26,0.57,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Lutein/sesamol/Ellagic acid/Olive leaf,0,µg/g meat,0,,,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Coooked pork sausuages (Fresh pork sholder and pork back fat),,,TBARS,Chemical,0.5,2,mg MDA/kg,0.81,1,0.81,2,0.000,1.62,0.405,3,8,1.10,3.00,0.17,0.041,2.20,0.55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Lutein,200,µg/g meat,0.02,Carbohydrate   ,plant,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Coooked pork sausuages (Fresh pork sholder and pork back fat),ANM,ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.88,15,0.95,2,0.005,1.90,0.475,3,22,1.19,3.00,0.85,0.034,2.38,0.60,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Sesamol,250,µg/g meat,0.025,Phenol,plant,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Coooked pork sausuages (Fresh pork sholder and pork back fat),ANM,ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.80,22,0.70,3,-0.005,1.40,0.350,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Ellagic acid,300,µg/g meat,0.03,Phenol,plant,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Coooked pork sausuages (Fresh pork sholder and pork back fat),ANM,ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.88,22,0.96,2,0.004,1.92,0.480,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Olive leaf,200,µg/g meat,0.03,Phenol,plant,,,,,,,,,,,,,,,,,,,,Aerobic,4,Pork,Pork,Coooked pork sausuages (Fresh pork sholder and pork back fat),ANM,ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.69,22,0.98,2,0.013,1.96,0.490,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Lutein/sesamol/Ellagic acid/Olive leaf,0,µg/g meat,0,,,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Coooked pork sausuages (Fresh pork sholder and pork back fat),,,TBARS,Chemical,0.5,2,mg MDA/kg,0.81,1,0.81,2,0.000,1.62,0.405,3,8,1.19,3.00,0.18,0.054,2.38,0.60,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Lutein,200,µg/g meat,0.02,Carbohydrate   ,plant,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Coooked pork sausuages (Fresh pork sholder and pork back fat),MAP+ANM,MAP+ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.88,1,0.88,2,0.000,1.76,0.440,3,8,1.14,3.00,0.16,0.037,2.28,0.57,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Sesamol,250,µg/g meat,0.025,Phenol,plant,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Coooked pork sausuages (Fresh pork sholder and pork back fat),MAP+ANM,MAP+ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.80,22,0.80,2,0.000,1.60,0.400,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Ellagic acid,300,µg/g meat,0.03,Phenol,plant,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Coooked pork sausuages (Fresh pork sholder and pork back fat),MAP+ANM,MAP+ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.88,22,0.99,2,0.005,1.98,0.495,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0110-113,Olive leaf,200,µg/g meat,0.02,Phenol,plant,,,,,,,,,,,,,,,,,,,,MAP,4,Pork,Pork,Coooked pork sausuages (Fresh pork sholder and pork back fat),MAP+ANM,MAP+ANM,TBARS,Chemical,0.5,2,mg MDA/kg,0.69,8,0.98,2,0.036,1.96,0.490,3,15,1.00,3.00,0.54,0.003,2.00,0.50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0130,Tea polyPhenol,0,%,0,,,,,,,,,,,,,,,,,,,,,,,20,Pork,Pork,Dry pork sausuages (Fresh boneless pork hams and pork backfat),,,TVC,Microbial,7,7,log CFU/g,7,1,7,1,0.00,1.00,1.00,2,8,7.5,2,0.134,0.071,1.071,1.071,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0130,Tea polyPhenol,0.03,%,0.03,Phenol,plant,,,,,,,,,,,,,,,,,,,,,20,Pork,Pork,Dry pork sausuages (Fresh boneless pork hams and pork backfat),,ANM,TVC,Microbial,7,7,log CFU/g,7,1,7,1,0.00,1.00,1.00,2,8,7.4,3,0.132,0.057,1.057,1.057,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0130,Tea polyPhenol,0,%,0,,,,,,,,,,,,,,,,,,,,,,,20,Pork,Pork,Dry pork sausuages (Fresh boneless pork hams and pork backfat),,,LAB,Microbial,5,7,log CFU/g,6.4,1,6.4,1,0.00,1.28,0.91,2,8,7,3,0.137,0.086,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0130,Tea polyPhenol,0.03,%,0.03,Phenol,plant,,,,,,,,,,,,,,,,,,,,,20,Pork,Pork,Dry pork sausuages (Fresh boneless pork hams and pork backfat),,ANM,LAB,Microbial,5,7,log CFU/g,6.4,1,6.4,1,0.00,1.28,0.91,2,8,7,3,0.137,0.086,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin ,0,IU/g,0,,,Control,0,mM,0,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,,,TVC,Microbial,5,7,log CFU/g,4.3,1,4.3,2,0.00,0.61,0.61,3,9.5,7,3,0.171,0.318,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,500,IU/g,0.05,Protein ,microbial,EDTA,0,mM,0,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,TVC,Microbial,5,7,log CFU/g,4.3,1,4.3,2,0.00,0.61,0.61,3,12,7,3,0.136,0.245,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,1500,IU/g,0.15,Protein ,microbial,EDTA,0,mM,0,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,TVC,Microbial,5,7,log CFU/g,4.3,1,4.3,2,0.00,0.61,0.61,3,15,7,3,0.109,0.193,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,500,IU/g,0.05,Protein ,microbial,EDTA,10,mM,0.37,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,TVC,Microbial,5,7,log CFU/g,4.3,1,4.3,2,0.00,0.61,0.61,3,15,7,3,0.109,0.193,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,1500,IU/g,0.15,Protein ,microbial,EDTA,10,mM,0.37,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,TVC,Microbial,5,7,log CFU/g,4.3,1,4.3,2,0.00,0.61,0.61,3,18.5,7,3,0.088,0.154,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,500,IU/g,0.05,Protein ,microbial,EDTA,50,mM,1.86,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,TVC,Microbial,5,7,log CFU/g,4.3,1,4.3,2,0.00,0.61,0.61,3,21.5,7,3,0.076,0.132,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,1500,IU/g,0.15,Protein ,microbial,EDTA,50,mM,1.86,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,TVC,Microbial,5,7,log CFU/g,4.3,1,4.3,2,0.00,0.61,0.61,3,27,7,3,0.060,0.104,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,0,IU/g,0,Protein ,microbial,EDTA,10,mM,0.37,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,TVC,Microbial,5,7,log CFU/g,4.3,1,4.3,2,0.00,0.61,0.61,3,9.5,7,3,0.171,0.318,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,0,IU/g,0,Protein ,microbial,EDTA,50,mM,1.86,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,TVC,Microbial,5,7,log CFU/g,4.3,1,4.3,2,0.00,0.61,0.61,3,9.5,7,3,0.171,0.318,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,0,IU/g,0,,,Control,0,mM,0,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,,,LAB,Microbial,5,7,log CFU/g,4.8,8,6.5,1,0.21,0.93,0.93,2,12,7.5,2,0.769,0.250,1.5,1.071,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,500,IU/g,0.05,Protein ,microbial,EDTA,0,mM,0,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,LAB,Microbial,5,7,log CFU/g,4.8,8,6,1,0.15,0.86,0.86,2,12,7.2,3,0.800,0.300,1.44,1.029,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,1500,IU/g,0.15,Protein ,microbial,EDTA,0,mM,0,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,LAB,Microbial,5,7,log CFU/g,4.8,12,6.2,1,0.12,0.89,0.89,2,16,7.2,3,0.871,0.250,1.44,1.029,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,500,IU/g,0.05,Protein ,microbial,EDTA,10,mM,0.37,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,LAB,Microbial,5,7,log CFU/g,4.8,16,6.8,1,0.13,0.97,0.97,2,20,7.2,3,0.847,0.100,1.44,1.029,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,1500,IU/g,0.15,Protein ,microbial,EDTA,10,mM,0.37,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,LAB,Microbial,5,7,log CFU/g,4.8,16,6.7,1,0.12,0.96,0.96,2,20,7.1,3,0.848,0.100,1.42,1.014,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,500,IU/g,0.05,Protein ,microbial,EDTA,50,mM,1.86,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,LAB,Microbial,5,7,log CFU/g,4.8,20,6.6,1,0.09,0.94,0.94,2,24,7,3,0.884,0.100,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,1500,IU/g,0.15,Protein ,microbial,EDTA,50,mM,1.86,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,LAB,Microbial,5,7,log CFU/g,4.8,20,6.6,1,0.09,0.94,0.94,2,24,7,3,0.884,0.100,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,0,IU/g,0,,,Control,0,mM,0,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,,,B. thermosphacta,Microbial,5,7,log CFU/g,4.5,8,6,1,0.19,0.86,0.86,2,12,7.2,2,0.800,0.300,1.44,1.029,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,500,IU/g,0.05,Protein ,microbial,EDTA,0,mM,0,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,B. thermosphacta,Microbial,5,7,log CFU/g,4.5,8,5.8,2,0.16,0.83,0.83,2,12,7,3,0.805,0.300,1.4,1.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANM-0136-139,Nisin,1500,IU/g,0.15,Protein ,microbial,EDTA,0,mM,0,,,,,,,,,,,,,,,30 min at RT,"MAP(LDPE/PA/LDPE, 65%CO2, 30%N2, 5%O2)",4,Chicken,Chicken,fresh chicken breast 300g,MAP+ANM,MAP+ANM,B. thermosphacta,Microbial,5,7,log CFU/g,4.5,12,5.7,3,0.10,0.81,0.81,2,15,7.1,2,0.996,0.467,1.42,1.014,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
