experiment_id,ingredient_id,ingredient,concentration,unit_of_concentration,normalized_concentration_%_of_meat,chemical_composition,source,immersion_time,storage_temperature,meat_type,part_of_product,physical_hurdle_tech,application_method,hurdle_coordination,irradiation_dose,indicators,type_of_indicator,lower_level_threshold_(log_cfu/g),upper_level_threshold_(log_cfu/g),unit,initial_count_(day_0),pre_threshold_(day),pre_threshold_count,post_threshold_(day),post_threshold_count,data_source,initial_inhibition_factor,post_inhibition_factor,post_threshold_proximity_index_2(tpi)
f4,3,cranberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.591226589,5.0,4.573436213,7.0,5.49705859,experimental,0.39644192479999996,0.4618111885,1.099411718
f4,3,cranberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.397629787,14.0,0.703020969,,,experimental,0.021813655857142854,,
f4,3,cranberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,2.306252766,11.0,6.233888889,14.0,15.27472832,experimental,0.3570578293636364,3.013613143666666,1.0183152213333333
f4,3,cranberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.600602206,14.0,0.387485294,,,experimental,-0.015222636571428574,,
f4,3,cranberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.596008719,5.0,4.553381845,7.0,5.46984683,experimental,0.3914746252,0.4582324925000001,1.093969366
f4,3,cranberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,2.441081905,14.0,1.453158519,,,experimental,-0.07056595614285713,,
f4,3,cranberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,3.12763619,11.0,9.744966197,14.0,19.82523407,experimental,0.6015754551818181,3.360089291,1.3216822713333334
f4,3,cranberry,0.2,%,,phenol,plant,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.200136154,14.0,0.561853676,,,experimental,0.025836965857142857,,
n10,1,nisin,1000.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.152344792,7.0,4.882346322,9.0,5.728984292,experimental,0.3900002185714286,0.42331898499999987,1.1457968584
n10,1,nisin,1000.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,2.60389284,11.0,1.733950993,14.0,12.5660346,experimental,-0.07908562245454544,3.6106945356666666,2.51320692
n10,1,nisin,1000.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.606657284,14.0,0.0,,,experimental,-0.11476123457142857,,
n10,1,nisin,1000.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.322968993,14.0,0.0,,,experimental,-0.023069213785714283,,
n10,1,nisin,1000.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,1.856725528,5.0,3.559911855,7.0,5.407336339,experimental,0.34063726540000006,0.9237122420000001,1.0814672678000001
n10,1,nisin,1000.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,1.482606437,9.0,1.712783614,11.0,7.845987692,experimental,0.02557524188888887,3.0666020389999997,1.5691975383999999
n10,1,nisin,1000.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.09583954,11.0,9.681516923,14.0,51.03765124,experimental,0.7805161257272727,13.785378105666666,3.4025100826666668
n10,1,nisin,1000.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.161387625,14.0,0.025767772,,,experimental,-0.009687132357142858,,
n10,1,nisin,1000.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,1.70166752,7.0,4.996125083,9.0,5.208591518,experimental,0.4706367947142857,0.10623321750000025,1.0417183036000002
n10,1,nisin,1000.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.652878519,9.0,0.820511398,11.0,14.1805803,experimental,0.018625875444444433,6.680034451,2.83611606
n10,1,nisin,1000.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.36510963,9.0,3.716433978,11.0,16.21175095,experimental,0.26125826088888887,6.247658486,1.0807833966666667
n10,1,nisin,1000.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.0,,,experimental,0.0,,
n5,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.094736547,5.0,3.480874821,7.0,5.114008074,experimental,0.2772276548,0.8165666265,1.0228016148
n5,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,1.82231451,11.0,4.706438411,14.0,17.06738716,experimental,0.2621930819090909,4.120316249666666,3.4134774319999996
n5,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.728056863,11.0,8.570672053,14.0,52.23174864,experimental,0.6220559263636363,14.553692195666665,3.482116576
n5,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.045142037,14.0,0.374504537,,,experimental,0.023525892857142856,,
n5,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.039976834,7.0,4.52160901,9.0,5.867125909,experimental,0.35451888228571427,0.6727584495000003,1.1734251818
n5,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,4.458666055,9.0,0.0,11.0,5.848303158,experimental,-0.4954073394444445,2.924151579,1.1696606316
n5,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.989251009,9.0,3.221078443,11.0,26.93593474,experimental,0.1368697148888889,11.8574281485,1.7957289826666667
n5,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.271239706,14.0,0.432627331,,,experimental,0.011527687499999998,,
n5,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,1.912086808,5.0,3.726921681,7.0,5.423212155,experimental,0.3629669746,0.848145237,1.084642431
n5,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.86507873,9.0,0.571397037,11.0,7.747559192,experimental,-0.03263129922222222,3.5880810775,1.5495118384
n5,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.47572254,11.0,6.19156404,14.0,47.03080628,experimental,0.42871286363636363,13.613080746666666,3.1353870853333334
n5,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.032355022,14.0,0.774970588,,,experimental,0.053043969,,
nb,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,1.759187751,5.0,3.693620159,7.0,5.663798007,experimental,0.3868864816,0.9850889239999998,1.1327596013999999
nb,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.575385641,14.0,0.0,11.0,6.576767901,experimental,-0.04109897435714286,6576767.901000001,1.3153535802
nb,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.0,9.0,4.21421384,11.0,31.08388198,experimental,0.46824598222222225,13.43483407,2.0722587986666667
nb,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.419840316,14.0,0.014918184,,,experimental,-0.028923009428571428,,
nb,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.253254555,5.0,4.001267319,7.0,5.54852885,experimental,0.3496025528000001,0.7736307655000001,1.1097057700000001
nb,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,4.096361258,9.0,1.433257778,11.0,10.00344559,experimental,-0.2959003866666667,4.285093906,2.000689118
nb,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.81220956,9.0,6.667764444,11.0,44.71419656,experimental,0.6506172093333333,19.023216058,2.980946437333333
nb,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.619976471,14.0,0.032355022,,,experimental,-0.041972960642857146,,
nb,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,1.911666033,5.0,3.857783208,7.0,5.72569804,experimental,0.389223435,0.9339574160000002,1.145139608
nb,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.873889475,9.0,1.748943226,11.0,9.788468401,experimental,0.09722819455555555,4.0197625875,1.9576936801999998
nb,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.557802978,11.0,11.79480043,14.0,55.98932889,experimental,0.9306361320000001,14.731509486666667,3.732621926
nb,1,brevibacillin,500.0,mic,,peptide,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.038748529,,,experimental,0.002767752071428571,,
nb,2,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,1.759187751,5.0,3.693620159,7.0,5.663798007,experimental,0.3868864816,0.9850889239999998,1.1327596013999999
nb,2,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.575385641,14.0,0.0,11.0,6.576767901,experimental,-0.04109897435714286,6576767.901000001,1.3153535802
nb,2,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.0,9.0,4.21421384,11.0,31.08388198,experimental,0.46824598222222225,13.43483407,2.0722587986666667
nb,2,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.419840316,14.0,0.014918184,,,experimental,-0.028923009428571428,,
nb,2,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.253254555,5.0,4.001267319,7.0,5.54852885,experimental,0.3496025528000001,0.7736307655000001,1.1097057700000001
nb,2,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,4.096361258,9.0,1.433257778,11.0,10.00344559,experimental,-0.2959003866666667,4.285093906,2.000689118
nb,2,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.81220956,9.0,6.667764444,11.0,44.71419656,experimental,0.6506172093333333,19.023216058,2.980946437333333
nb,2,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.619976471,14.0,0.032355022,,,experimental,-0.041972960642857146,,
nb,2,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,1.911666033,5.0,3.857783208,7.0,5.72569804,experimental,0.389223435,0.9339574160000002,1.145139608
nb,2,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.873889475,9.0,1.748943226,11.0,9.788468401,experimental,0.09722819455555555,4.0197625875,1.9576936801999998
nb,2,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.557802978,11.0,11.79480043,14.0,55.98932889,experimental,0.9306361320000001,14.731509486666667,3.732621926
nb,2,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.038748529,,,experimental,0.002767752071428571,,
nt,1,control,,,,,,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.501971925,5.0,4.352571354,7.0,5.528070191,experimental,0.37011988580000005,0.5877494185000001,1.1056140382000001
nt,1,control,,,,,,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.51436,9.0,2.336370864,11.0,5.661283993,experimental,0.20244565155555558,1.6624565644999998,1.1322567985999998
nt,1,control,,,,,,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.65464,9.0,9.464281975,11.0,23.89897739,experimental,0.9788491083333333,7.217347707499999,1.5932651593333333
nt,1,control,,,,,,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.600602206,,,experimental,0.04290015757142857,,
nt,1,control,,,,,,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.46490844,5.0,4.303452469,7.0,5.644155153,experimental,0.3677088058,0.670351342,1.1288310306
nt,1,control,,,,,,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.161386207,7.0,0.0,9.0,9.961188916,experimental,-0.02305517242857143,4.980594458,1.9922377831999998
nt,1,control,,,,,,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,2.09802069,7.0,0.0,9.0,20.77876964,experimental,-0.2997172414285714,10.38938482,1.3852513093333334
nt,1,control,,,,,,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.109852081,14.0,0.445608088,,,experimental,0.02398257192857143,,
nt,1,control,,,,,,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.515180212,5.0,4.225092866,7.0,5.920535175,experimental,0.3419825307999999,0.8477211545000003,1.184107035
nt,1,control,,,,,,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.197997531,9.0,1.469952934,11.0,8.354000982,experimental,0.1413283781111111,3.442024024,1.6708001964
nt,1,control,,,,,,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.435594568,9.0,7.605408661,11.0,24.74069521,experimental,0.7966460103333334,8.5676432745,1.6493796806666665
nt,1,control,,,,,,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.206723404,14.0,0.723241301,,,experimental,0.036894135499999994,,
pa,1,peracetic acid,500.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.503040259,5.0,4.418047664,7.0,5.870175504,experimental,0.3830014810000001,0.7260639199999996,1.1740351007999998
pa,1,peracetic acid,500.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.287926154,9.0,0.656837427,11.0,10.46836,experimental,0.04099014144444445,4.905761286500001,2.093672
pa,1,peracetic acid,500.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,1.475621538,11.0,14.36961217,14.0,44.11087852,experimental,1.1721809665454546,9.91375545,2.9407252346666666
pa,1,peracetic acid,500.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.14201336,14.0,0.497337375,,,experimental,0.025380286785714284,,
pa,1,peracetic acid,500.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.42448352,5.0,4.25490543,7.0,5.772256622,experimental,0.36608438200000004,0.7586755959999998,1.1544513243999999
pa,1,peracetic acid,500.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.170163636,9.0,0.257937931,11.0,5.512173333,experimental,0.009752699444444445,2.627117701,1.1024346666
pa,1,peracetic acid,500.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.578556364,9.0,4.281769655,11.0,17.28393333,experimental,0.41146814344444443,6.5010818375,1.152262222
pa,1,peracetic acid,500.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.387485294,14.0,0.678099265,,,experimental,0.020758140785714283,,
pa,1,peracetic acid,500.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.513477321,5.0,4.192750116,7.0,5.75108957,experimental,0.33585455900000005,0.7791697270000002,1.1502179140000002
pa,1,peracetic acid,500.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,3.010114074,9.0,0.179953846,11.0,28.73636031,experimental,-0.3144622475555556,14.278203232,5.7472720619999995
pa,1,peracetic acid,500.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.0,9.0,4.282901538,11.0,16.72361953,experimental,0.47587794866666666,6.220358996,1.1149079686666667
pa,1,peracetic acid,500.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.161387625,14.0,0.626369978,,,experimental,0.033213025214285714,,
pan,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,1.844108947,5.0,3.733322715,7.0,5.623632962,experimental,0.37784275359999997,0.9451551235000002,1.1247265924
pan,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,7.0,0.0,9.0,9.980942222,experimental,0.0,4.990471111,1.9961884444
pan,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,7.174434197,9.0,3.706158693,11.0,18.33482896,experimental,-0.3853639448888889,7.3143351335,1.2223219306666666
pan,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.161387625,14.0,0.574834434,,,experimental,0.029531914928571427,,
pan,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.061954647,5.0,3.597735361,7.0,5.495257309,experimental,0.3071561428,0.9487609740000003,1.0990514618
pan,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.650582029,9.0,1.655632875,11.0,11.14412516,experimental,0.11167231622222223,4.7442461425,2.228825032
pan,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.511171594,9.0,3.539628906,11.0,21.28769419,experimental,0.33649525688888887,8.874032642,1.4191796126666667
pan,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.138719735,14.0,0.439214581,,,experimental,0.02146391757142857,,
pan,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.205138448,5.0,3.776725585,7.0,5.731037029,experimental,0.31431742739999996,0.9771557220000002,1.1462074058
pan,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.722798788,7.0,0.0,9.0,12.85851546,experimental,-0.1032569697142857,6.42925773,2.571703092
pan,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,3.528958788,9.0,4.976205674,11.0,17.92737333,experimental,0.16080520955555555,6.475583828000001,1.195158222
pan,1,nisin,500.0,mic,,protein,microbial,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.691080022,,,experimental,0.04936285871428571,,
pan,2,peracetic acid,250.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,1.844108947,5.0,3.733322715,7.0,5.623632962,experimental,0.37784275359999997,0.9451551235000002,1.1247265924
pan,2,peracetic acid,250.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.0,7.0,0.0,9.0,9.980942222,experimental,0.0,4.990471111,1.9961884444
pan,2,peracetic acid,250.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,7.174434197,9.0,3.706158693,11.0,18.33482896,experimental,-0.3853639448888889,7.3143351335,1.2223219306666666
pan,2,peracetic acid,250.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.161387625,14.0,0.574834434,,,experimental,0.029531914928571427,,
pan,2,peracetic acid,250.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.061954647,5.0,3.597735361,7.0,5.495257309,experimental,0.3071561428,0.9487609740000003,1.0990514618
pan,2,peracetic acid,250.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.650582029,9.0,1.655632875,11.0,11.14412516,experimental,0.11167231622222223,4.7442461425,2.228825032
pan,2,peracetic acid,250.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,0.511171594,9.0,3.539628906,11.0,21.28769419,experimental,0.33649525688888887,8.874032642,1.4191796126666667
pan,2,peracetic acid,250.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.138719735,14.0,0.439214581,,,experimental,0.02146391757142857,,
pan,2,peracetic acid,250.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvc,microbial,5,7,log cfu/g,2.205138448,5.0,3.776725585,7.0,5.731037029,experimental,0.31431742739999996,0.9771557220000002,1.1462074058
pan,2,peracetic acid,250.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tman,chemical,5,15,mg n/100g,0.722798788,7.0,0.0,9.0,12.85851546,experimental,-0.1032569697142857,6.42925773,2.571703092
pan,2,peracetic acid,250.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,tvbn,chemical,15,30,mg n/100g,3.528958788,9.0,4.976205674,11.0,17.92737333,experimental,0.16080520955555555,6.475583828000001,1.195158222
pan,2,peracetic acid,250.0,ppm,,organic acid,other natural sources,,4,shrimp,whole,heat,anm,hybrid_simultaneous,,pv,chemical,5,10,meq o2/kg,0.0,14.0,0.691080022,,,experimental,0.04936285871428571,,
